run,scenario_type,scenario,split,context,model,RMSE,MAE,R2,Stability
0,baselines,full,region_holdout,north_america,MLP,9.856783604842294,7.03550381243038,-0.8062874883059736,-0.00020964774040273308
0,baselines,full,region_holdout,south_asia,Ridge,10.34984105827723,8.59469648478129,-0.5808474413173941,6.052431813313872e-05
0,baselines,full,region_holdout,south_asia,RandomForest,9.202733920784237,7.235200394144141,-0.2498454993199115,0.008818201454266917
0,baselines,full,region_holdout,south_asia,XGBoost,9.347045635213219,7.450092008436048,-0.28935148835176694,-0.001080928064446872
0,baselines,full,region_holdout,south_asia,MLP,14.969873569659327,12.36411636184244,-2.307187857276118,-4.467791071588959e-05
0,baselines,full,region_holdout,sub_saharan_africa,Ridge,9.299250887994226,7.289396555898128,0.055582037790937955,0.00014518571716809467
0,baselines,full,region_holdout,sub_saharan_africa,RandomForest,9.209092600122531,7.372163157894735,0.07380594583304623,0.009554658570664289
0,baselines,full,region_holdout,sub_saharan_africa,XGBoost,9.387121461371711,7.709190212048983,0.037649705927753296,0.003967321786026932
0,baselines,full,region_holdout,sub_saharan_africa,MLP,7.858626391988873,6.702538639123945,0.32553162091582044,0.0005463700040932099
0,baselines,full,size_holdout,Large-Cap,Ridge,8.121310057679606,6.478802747426576,0.035039768152053896,9.175081017837605e-05
0,baselines,full,size_holdout,Large-Cap,RandomForest,7.037573434702291,5.305510176991149,0.27539202120571504,0.08436171519479432
0,baselines,full,size_holdout,Large-Cap,XGBoost,6.996831385545191,5.237772584425664,0.28375756352587567,0.08639854151836682
0,baselines,full,size_holdout,Large-Cap,MLP,11.263298928619118,8.53932810843602,-0.8560447950104879,0.0007844077676382009
0,baselines,full,size_holdout,Mid-Cap,Ridge,7.331279608098715,5.825014885328841,0.08733104801020353,-8.139616246311125e-05
0,baselines,full,size_holdout,Mid-Cap,RandomForest,6.836334227038446,5.466094435817803,0.20640251280061528,0.14633299728389632
0,baselines,full,size_holdout,Mid-Cap,XGBoost,7.1663839870272295,5.618230566605278,0.12792495484478317,0.13024142355337803
0,baselines,full,size_holdout,Mid-Cap,MLP,10.249706104319316,7.3620096421535415,-0.7839247682331305,0.0014933634865916853
0,baselines,full,size_holdout,Small-Cap,Ridge,7.721668440092789,5.957009789619606,0.02776222155958541,0.00014000895007875455
0,baselines,full,size_holdout,Small-Cap,RandomForest,7.115794344792021,5.173906593137256,0.174348129154139,0.01876090017085736
0,baselines,full,size_holdout,Small-Cap,XGBoost,7.079680279344308,5.304597174139584,0.18270755581299036,0.021910009294297126
0,baselines,full,size_holdout,Small-Cap,MLP,11.27776867016444,8.586012009593109,-1.073941765362044,-3.171397459163976e-05
0,baselines,constrained,within_sample,within_sample,Ridge,6.722312868742233,5.256173753180648,0.024824284220632653,6.96117018705897e-05
0,baselines,constrained,within_sample,within_sample,RandomForest,6.240144983884894,4.992177886408161,0.15969916463822753,0.013118064758851309
0,baselines,constrained,within_sample,within_sample,XGBoost,6.02078479004608,4.66775882589406,0.2177390653753175,0.0159946897919007
0,baselines,constrained,within_sample,within_sample,MLP,16.180643573539996,14.136910229659847,-4.6498512991199625,0.0002900805548696337
0,baselines,constrained,region_holdout,europe_n_central_asia,Ridge,7.074343467715253,5.761851787536082,0.1329027699871297,-0.0001338574200451717
0,baselines,constrained,region_holdout,europe_n_central_asia,RandomForest,6.499195553982748,4.997249090909092,0.26816238919469926,0.044642021718206346
0,baselines,constrained,region_holdout,europe_n_central_asia,XGBoost,6.594105875177457,4.9930772601040925,0.24663169041261224,0.03241122748636963
0,baselines,constrained,region_holdout,europe_n_central_asia,MLP,12.22207625323999,9.604915483908727,-1.5881264653737586,5.151216959640646e-05
0,baselines,constrained,region_holdout,north_america,Ridge,9.598347580105786,6.979370254755201,-0.9628025527332242,0.00018837512304375353
0,baselines,constrained,region_holdout,north_america,RandomForest,7.0365343099700555,4.974025363984672,-0.05487569938868009,0.10093499630368404
0,baselines,constrained,region_holdout,north_america,XGBoost,6.6902834662066795,4.885612127808319,0.04638580552543281,0.14211912721954226
0,baselines,constrained,region_holdout,north_america,MLP,9.177714782026674,7.04375457240787,-0.7945385094124611,-0.0002505482990820653
0,baselines,constrained,size_holdout,Large-Cap,Ridge,6.184252769297483,4.979709335359696,0.029936495093335402,2.0890481260967616e-05
0,baselines,constrained,size_holdout,Large-Cap,RandomForest,6.395415683278624,4.953833606557376,-0.037440640411816606,0.1082790848022422
0,baselines,constrained,size_holdout,Large-Cap,XGBoost,6.141598900576214,4.6399899135652145,0.04327174217080343,0.19594992951432508
0,baselines,constrained,size_holdout,Large-Cap,MLP,11.175459457459814,9.358212505774896,-2.167790677764437,-0.00029623230677884116
0,baselines,constrained,size_holdout,Mid-Cap,Ridge,7.468265568922323,5.865655382629833,0.07343984867568887,-8.904566140907915e-06
0,baselines,constrained,size_holdout,Mid-Cap,RandomForest,6.929380575768496,5.28250961159211,0.20233058294949668,0.01115113931067294
0,baselines,constrained,size_holdout,Mid-Cap,XGBoost,7.121489764402614,5.661658052986051,0.15748853108464456,0.010090451321040177
0,baselines,constrained,size_holdout,Mid-Cap,MLP,10.532161251411782,7.826806559748008,-0.8427614233645151,-0.00040389709074511407
0,diversified,max_balanced,within_sample,within_sample,Ridge,7.033928575056053,5.628208061529089,0.351501056473855,0.0003950415076278137
0,diversified,max_balanced,within_sample,within_sample,RandomForest,3.3774672584624446,1.907613475177322,0.8504812491493808,0.8993724009045849
0,diversified,max_balanced,within_sample,within_sample,XGBoost,3.022123824271821,1.2231072650395385,0.8802879483381042,1.010686972756137
0,diversified,max_balanced,within_sample,within_sample,MLP,5.038890777312718,2.0196904902025685,0.6672000485292588,0.0039910997053672305
0,diversified,max_balanced,region_holdout,east_asia_n_pacific,Ridge,10.020769249752114,7.340199315401805,-0.7257054002320147,-0.00026597250524328943
0,diversified,max_balanced,region_holdout,east_asia_n_pacific,RandomForest,8.71733842961491,6.988425693569502,-0.30596743681594685,-0.005121330593362506
0,diversified,max_balanced,region_holdout,east_asia_n_pacific,XGBoost,8.074756207915843,6.28761697769165,-0.1205297019219993,0.035564038099768595
0,diversified,max_balanced,region_holdout,east_asia_n_pacific,MLP,14.362678692577665,9.717818231773219,-2.5451566063361626,0.0008408861515342038
0,diversified,max_balanced,region_holdout,europe_n_central_asia,Ridge,6.8009744595857295,5.233800526405323,0.08253757297049424,0.00010064467611571068
0,diversified,max_balanced,region_holdout,europe_n_central_asia,RandomForest,5.763662398506971,4.391058355118284,0.34106425267448137,0.13331668352294454
0,diversified,max_balanced,region_holdout,europe_n_central_asia,XGBoost,6.111224554463694,4.814433751539751,0.2591974241863906,0.06105211859206864
0,diversified,max_balanced,region_holdout,europe_n_central_asia,MLP,9.175425164190198,7.248731610047883,-0.669930491368206,-4.539577552224315e-05
0,diversified,max_balanced,region_holdout,latin_america_n_caribbean,Ridge,7.553688669032301,6.410895687319277,0.1827774493568729,0.0005298579803212388
0,diversified,max_balanced,region_holdout,latin_america_n_caribbean,RandomForest,5.655964691641258,4.383990860247215,0.541820599908418,0.0033643284194518307
0,diversified,max_balanced,region_holdout,latin_america_n_caribbean,XGBoost,4.761401318686206,3.870614015839316,0.6752929218227486,0.11637746951527879
0,diversified,max_balanced,region_holdout,latin_america_n_caribbean,MLP,13.461211377083504,9.161572715138474,-1.5953173363385504,-0.00058786822562374
0,diversified,max_balanced,region_holdout,north_america,Ridge,8.088669507935183,6.3596281856412595,-0.029650041353866063,0.00047248067463249635
0,diversified,max_balanced,region_holdout,north_america,RandomForest,7.395603398524424,5.474026805991389,0.13923879317165022,0.15594112402942015
0,diversified,max_balanced,region_holdout,north_america,XGBoost,7.361678000337305,5.486060543638287,0.14711771463560908,0.19619217386364757
0,diversified,max_balanced,region_holdout,north_america,MLP,11.796041879218862,8.37783354187333,-1.1898182485431303,0.00044071474233330066
0,diversified,max_balanced,region_holdout,south_asia,Ridge,8.082866992541996,6.238865580457001,-0.33145338732064067,9.912966530511611e-05
0,diversified,max_balanced,region_holdout,south_asia,RandomForest,8.215294612914567,6.670682978135278,-0.37543916726247084,-0.01649192659750718
0,diversified,max_balanced,region_holdout,south_asia,XGBoost,8.623735546471687,6.9728870920701445,-0.5156047662102217,-0.015561898215359965
0,diversified,max_balanced,region_holdout,south_asia,MLP,13.013975666245253,11.122747508022112,-2.4515572627711504,-0.0004016076255816439
0,diversified,max_balanced,region_holdout,sub_saharan_africa,Ridge,9.205195022622163,7.7934356136900425,0.042323492744517965,3.9005879479876645e-05
0,diversified,max_balanced,region_holdout,sub_saharan_africa,RandomForest,8.868340152840112,7.344065669629266,0.11113146900044213,0.006793112369778069
0,diversified,max_balanced,region_holdout,sub_saharan_africa,XGBoost,9.201602805888847,7.746915861187559,0.04307079040008244,0.0029755908724155965
0,diversified,max_balanced,region_holdout,sub_saharan_africa,MLP,10.02288800933087,8.267486999726781,-0.135373102942681,-1.0859005626497227e-05
0,diversified,max_balanced,size_holdout,Large-Cap,Ridge,8.673308274363578,7.076641762475544,0.02264764909771233,-9.888410640042846e-05
0,diversified,max_balanced,size_holdout,Large-Cap,RandomForest,8.099592913902994,6.7268783344472425,0.14766959743314312,0.0557508121768349
0,diversified,max_balanced,size_holdout,Large-Cap,XGBoost,8.324580769917963,7.0042003871455325,0.09966042689626031,0.025346842054791298
0,diversified,max_balanced,size_holdout,Large-Cap,MLP,11.930029817584257,9.358231789611498,-0.8491181214680104,-0.0006692450109738104
0,diversified,max_balanced,size_holdout,Mid-Cap,Ridge,7.543114925978273,6.086506835027605,-0.058644435495794456,-0.00013486069732993364
0,diversified,max_balanced,size_holdout,Mid-Cap,RandomForest,6.9090334636675905,5.619408212121211,0.1118562535725296,0.07528029651624132
0,diversified,max_balanced,size_holdout,Mid-Cap,XGBoost,7.0584167548097145,5.893083336396651,0.07303515461110721,0.14501379034870032
0,diversified,max_balanced,size_holdout,Mid-Cap,MLP,11.665808313103586,8.730099636893362,-1.5320853581231733,6.933146360664086e-05
0,diversified,max_balanced,size_holdout,Small-Cap,Ridge,8.492744730067876,6.367979660023099,0.03815560686276409,-4.2730214010328155e-05
0,diversified,max_balanced,size_holdout,Small-Cap,RandomForest,8.303687937438621,5.947016363636362,0.08050215509718683,0.015061532311119777
0,diversified,max_balanced,size_holdout,Small-Cap,XGBoost,8.707306674189185,6.706484834497626,-0.011058671022854849,0.049335298327758695
0,diversified,max_balanced,size_holdout,Small-Cap,MLP,11.120049525795157,8.597504870071692,-0.6490055587802914,-0.00026866969875211555
0,diversified,median_balanced,within_sample,within_sample,Ridge,6.543860885982096,5.351672874639218,0.2174282421516629,0.00046983935180380137
0,diversified,median_balanced,within_sample,within_sample,RandomForest,5.467171934026219,3.174994477751549,0.45376249195301244,0.15319000481373157
0,diversified,median_balanced,within_sample,within_sample,XGBoost,4.828152826063201,2.7720416793823235,0.5739916898014286,0.23943642537803989
0,diversified,median_balanced,within_sample,within_sample,MLP,6.4708072605626885,3.7834305071421994,0.23480348672497442,0.0006107853435755419
0,diversified,median_balanced,region_holdout,east_asia_n_pacific,Ridge,11.027091142629038,8.787833314707344,-1.0849235549156329,-0.0001583134381711459
0,diversified,median_balanced,region_holdout,east_asia_n_pacific,RandomForest,9.856344115083099,8.313538666666659,-0.6657120320332837,0.027521984108858095
0,diversified,median_balanced,region_holdout,east_asia_n_pacific,XGBoost,9.000188489338482,7.350690351359049,-0.38890140527136796,0.0619496524092019
0,diversified,median_balanced,region_holdout,east_asia_n_pacific,MLP,28.109508615904577,16.187958605970852,-12.547985246696037,0.0011272118869130412
0,diversified,median_balanced,region_holdout,europe_n_central_asia,Ridge,7.336221969154882,5.9755860263873934,0.041685158977079695,-0.0005107024325981039
0,diversified,median_balanced,region_holdout,europe_n_central_asia,RandomForest,7.203315144172625,5.657761333333336,0.07609329538547827,-0.0012303396266929072
0,diversified,median_balanced,region_holdout,europe_n_central_asia,XGBoost,7.445693478412569,6.129748341878256,0.012871719252268154,-0.00196695511287422
0,diversified,median_balanced,region_holdout,europe_n_central_asia,MLP,10.397870122706264,7.7183982519349605,-0.9250945503564494,-0.0009216138498422766
0,diversified,median_balanced,region_holdout,latin_america_n_caribbean,Ridge,8.716354641379157,7.0523575953472575,-0.012179267568506846,0.00010694704547233604
0,diversified,median_balanced,region_holdout,latin_america_n_caribbean,RandomForest,6.5792179611878066,5.628085829304548,0.4233182576976178,0.01122608645680237
0,diversified,median_balanced,region_holdout,latin_america_n_caribbean,XGBoost,7.917949944779219,6.9877553741455065,0.1647563987315901,0.0013808628662007575
